validity_metric,nlp_metric,r,p,model
htc,max,0.07558020852152925,0.4283453698580306,task_nli_deberta_entailment
htd,mean,0.21706538186479524,0.021509755431848698,task_nli_deberta_entailment
htd,median,0.25347461836840945,0.007004766593772872,task_nli_deberta_entailment
htd,std,-0.1152922461311388,0.2260903123063747,task_nli_deberta_entailment
htd,min,0.1653084956043507,0.08153654761095329,task_nli_deberta_entailment
htd,max,0.03993796259283493,0.6758821075197331,task_nli_deberta_entailment
alpha,mean,-0.3222637861551818,0.0005298670631320008,task_nli_deberta_neutral
alpha,median,-0.3226969873404564,0.0005202477583257729,task_nli_deberta_neutral
alpha,std,-0.04103309786930127,0.6675136738768481,task_nli_deberta_neutral
alpha,min,-0.3045145440520845,0.0010969002980871802,task_nli_deberta_neutral
alpha,max,-0.21238135838811928,0.02456789280238721,task_nli_deberta_neutral
psa,mean,-0.3912162665780591,1.998416750338747e-05,task_nli_deberta_neutral
psa,median,-0.3752292514001404,4.572080063002479e-05,task_nli_deberta_neutral
psa,std,-0.10929711705786829,0.2513170986814723,task_nli_deberta_neutral
psa,min,-0.22434723754005534,0.017405443312188115,task_nli_deberta_neutral
psa,max,-0.33858479229771427,0.0002607012698949995,task_nli_deberta_neutral
csv,mean,-0.3879621556094227,2.3733778869918608e-05,task_nli_deberta_neutral
csv,median,-0.3719603581307207,5.386781658897171e-05,task_nli_deberta_neutral
csv,std,-0.11010991888202235,0.2477878527624134,task_nli_deberta_neutral
csv,min,-0.22177106103673036,0.01877254132374493,task_nli_deberta_neutral
csv,max,-0.3375355225732595,0.00027318809543711936,task_nli_deberta_neutral
htc,mean,-0.32841498067951796,0.0004074516438828672,task_nli_deberta_neutral
htc,median,-0.3126056478771562,0.0007916265629194614,task_nli_deberta_neutral
htc,std,-0.154518028534528,0.10379966644014146,task_nli_deberta_neutral
htc,min,-0.06513064347390143,0.49506808662365237,task_nli_deberta_neutral
htc,max,-0.28792696605812423,0.0020810515648007097,task_nli_deberta_neutral
htd,mean,-0.24425922741390205,0.009447117356496688,task_nli_deberta_neutral
htd,median,-0.24572106363154703,0.009015623549897864,task_nli_deberta_neutral
htd,std,-0.11533451480699347,0.22591902227863497,task_nli_deberta_neutral
htd,min,-0.09759389081113748,0.30597890251174636,task_nli_deberta_neutral
htd,max,-0.2151894547092759,0.022692855625482233,task_nli_deberta_neutral
alpha,mean,0.055589510653749744,0.5604625119016395,task_sts_cross_encoder
alpha,median,0.07625938017582354,0.42419520736956545,task_sts_cross_encoder
alpha,std,0.05978769449571429,0.5311865609267442,task_sts_cross_encoder
alpha,min,-0.05362972960310558,0.5743879476182546,task_sts_cross_encoder
alpha,max,0.07297983353569001,0.4444490532916718,task_sts_cross_encoder
psa,mean,0.13443583267712572,0.1575974698258212,task_sts_cross_encoder
psa,median,0.1287675244068781,0.17602369836240606,task_sts_cross_encoder
psa,std,-0.13361410617038483,0.16017550736749714,task_sts_cross_encoder
psa,min,0.1481130237242718,0.11911350129149514,task_sts_cross_encoder
psa,max,0.04893655077965929,0.608376022741651,task_sts_cross_encoder
csv,mean,0.1316306954732474,0.16652749860851118,task_sts_cross_encoder
csv,median,0.1261474751333073,0.1850571692180302,task_sts_cross_encoder
csv,std,-0.13168743098748917,0.1663432424565392,task_sts_cross_encoder
csv,min,0.14495774286338176,0.1272728376985238,task_sts_cross_encoder
csv,max,0.04825538314591761,0.6133815974487336,task_sts_cross_encoder
htc,mean,0.2851600259649937,0.002307283565432618,task_sts_cross_encoder
htc,median,0.23423571855821548,0.012926306203886073,task_sts_cross_encoder
htc,std,-0.14473284231484493,0.12787039653890414,task_sts_cross_encoder
htc,min,0.24394536472626407,0.00954209526532419,task_sts_cross_encoder
htc,max,0.20014289597960527,0.034361072909315095,task_sts_cross_encoder
htd,mean,0.053294238011156014,0.57678791341544,task_sts_cross_encoder
htd,median,0.04916681311523212,0.6066880036234702,task_sts_cross_encoder
htd,std,-0.11746435299584997,0.21740603242955475,task_sts_cross_encoder
htd,min,0.123906164663009,0.19304942797680746,task_sts_cross_encoder
htd,max,0.035448638967906274,0.7105919787992995,task_sts_cross_encoder
alpha,mean,-0.026948318405242807,0.7779082486506371,word_ft_cosine
alpha,median,-0.007692577649950686,0.9358408106910963,word_ft_cosine
alpha,std,0.1303342014843768,0.17077937908285848,word_ft_cosine
alpha,min,-0.09893438424192884,0.2993511542903531,word_ft_cosine
